epoch,iso_utc,http_code,latency_ms,success,curl_exit,error
1771618226,2026-02-20T20:10:26Z,200,19.731,1,0,
1771618232,2026-02-20T20:10:32Z,200,34.678,1,0,
1771618237,2026-02-20T20:10:37Z,200,55.104,1,0,
1771618242,2026-02-20T20:10:42Z,200,61.763,1,0,
1771618247,2026-02-20T20:10:47Z,200,73.917,1,0,
1771618252,2026-02-20T20:10:52Z,200,18.053,1,0,
1771618258,2026-02-20T20:10:58Z,200,20.847,1,0,
1771618263,2026-02-20T20:11:03Z,200,20.025,1,0,
1771618268,2026-02-20T20:11:08Z,200,110.545,1,0,
1771618273,2026-02-20T20:11:13Z,200,17.364,1,0,
1771618278,2026-02-20T20:11:18Z,200,95.398,1,0,
1771618284,2026-02-20T20:11:24Z,200,23.395,1,0,
1771618289,2026-02-20T20:11:29Z,200,52.019,1,0,
1771618294,2026-02-20T20:11:34Z,200,57.288,1,0,
1771618299,2026-02-20T20:11:39Z,200,32.956,1,0,
1771618305,2026-02-20T20:11:45Z,200,46.044,1,0,
1771618310,2026-02-20T20:11:50Z,200,125.658,1,0,
1771618315,2026-02-20T20:11:55Z,200,18.893,1,0,
1771618320,2026-02-20T20:12:00Z,200,130.171,1,0,
1771618326,2026-02-20T20:12:06Z,200,23.658,1,0,
1771618331,2026-02-20T20:12:11Z,200,22.350,1,0,
1771618336,2026-02-20T20:12:16Z,200,31.115,1,0,
1771618341,2026-02-20T20:12:21Z,200,18.762,1,0,
1771618346,2026-02-20T20:12:26Z,200,45.221,1,0,
1771618352,2026-02-20T20:12:32Z,200,32.703,1,0,
1771618357,2026-02-20T20:12:37Z,200,27.553,1,0,
1771618362,2026-02-20T20:12:42Z,200,77.888,1,0,
1771618367,2026-02-20T20:12:47Z,200,18.365,1,0,
1771618373,2026-02-20T20:12:53Z,200,111.305,1,0,
1771618378,2026-02-20T20:12:58Z,200,20.572,1,0,
1771618383,2026-02-20T20:13:03Z,200,33.413,1,0,
1771618389,2026-02-20T20:13:09Z,200,30.757,1,0,
1771618394,2026-02-20T20:13:14Z,200,21.867,1,0,
1771618399,2026-02-20T20:13:19Z,200,56.058,1,0,
1771618404,2026-02-20T20:13:24Z,200,33.062,1,0,
1771618409,2026-02-20T20:13:29Z,200,18.285,1,0,
1771618415,2026-02-20T20:13:35Z,200,75.380,1,0,
1771618420,2026-02-20T20:13:40Z,200,96.654,1,0,
1771618425,2026-02-20T20:13:45Z,200,79.813,1,0,
1771618431,2026-02-20T20:13:51Z,200,24.026,1,0,
1771618436,2026-02-20T20:13:56Z,200,20.271,1,0,
1771618441,2026-02-20T20:14:01Z,200,63.840,1,0,
1771618448,2026-02-20T20:14:08Z,200,20.488,1,0,
1771618453,2026-02-20T20:14:13Z,200,43.428,1,0,
1771618459,2026-02-20T20:14:19Z,200,20.814,1,0,
1771618464,2026-02-20T20:14:24Z,200,20.318,1,0,
1771618469,2026-02-20T20:14:29Z,200,17.663,1,0,
1771618475,2026-02-20T20:14:35Z,200,19.924,1,0,
1771618480,2026-02-20T20:14:40Z,200,18.438,1,0,
1771618486,2026-02-20T20:14:46Z,200,122.374,1,0,
1771618491,2026-02-20T20:14:51Z,200,175.188,1,0,
1771618497,2026-02-20T20:14:57Z,200,66.630,1,0,
1771618502,2026-02-20T20:15:02Z,200,75.872,1,0,
1771618507,2026-02-20T20:15:07Z,200,68.596,1,0,
1771618513,2026-02-20T20:15:13Z,200,57.427,1,0,
1771618518,2026-02-20T20:15:18Z,200,94.973,1,0,
1771618524,2026-02-20T20:15:24Z,200,31.674,1,0,
1771618529,2026-02-20T20:15:29Z,200,29.321,1,0,
1771618534,2026-02-20T20:15:34Z,200,68.686,1,0,
